Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,31.243087768554688,34.00713890708205,25.823684924550964,27.888959409330344,855215656
1,2007-10-08,29.643667221069336,32.29901899181281,29.45732593302171,32.29901899181281,126671715
2,2007-10-09,31.662342071533203,31.941851779936375,28.059760795619255,29.659181438690247,116725709
3,2007-10-10,31.957382202148438,32.609574363390415,31.677872479427172,32.48534618182709,67931378
4,2007-10-11,35.52890396118164,37.26808154947314,31.67787058075365,37.26808154947314,106320954
5,2007-10-12,35.295982360839844,36.61589342823252,34.472979831874504,34.783547141849255,99410791
6,2007-10-15,35.76183319091797,36.24321504696642,35.4512658821146,36.025816245868576,41814972
7,2007-10-16,39.41100311279297,40.03214200646518,35.55996893099584,35.80842111859341,138614496
8,2007-10-17,42.485618591308594,43.479431447279126,32.95119846596182,35.404681457367374,204876259
9,2007-10-18,40.99489974975586,46.4143018409234,39.24019501656703,43.16887125941904,146617799
10,2007-10-19,40.855140686035156,42.51667664121029,38.820922272980816,40.06319151612652,110266491
11,2007-10-22,40.3116455078125,41.569441357166134,38.97620362301611,40.032135787104856,72253405
12,2007-10-23,43.18440246582031,43.572611666770854,41.30546740581606,41.30546740581606,74594921
13,2007-10-24,42.51667785644531,44.566423008690414,42.035295983563984,44.1005678168567,63055170
14,2007-10-25,42.423519134521484,43.41733657037701,37.46996706609637,41.07255000564734,34522489
15,2007-10-26,43.69683837890625,44.395614950376796,42.00424455418625,43.168872173303825,62370025
16,2007-10-29,44.581947326660156,45.65340620764089,44.19373819765824,44.41113699483477,43657697
17,2007-10-30,45.575775146484375,46.80251375647337,43.85212367919962,45.187565925790466,79921711
18,2007-10-31,46.52299880981445,47.54787356639363,45.653411936661655,45.80869560774888,44655368
19,2007-11-01,45.48258972167969,48.02924318414291,45.109911501151856,47.67209164317682,50632492
20,2007-11-02,46.30561065673828,46.58512469898216,43.479446349177906,43.83660224485839,32001693
21,2007-11-05,47.25284957885742,48.29325138469997,45.99504887185113,46.274562948301856,38833135
22,2007-11-06,47.87397003173828,50.9020017723324,47.22177773745013,48.075837971976675,81880281
23,2007-11-07,47.175193786621094,49.44233383007319,46.11926560490832,48.75908816535995,33593141
24,2007-11-08,46.36772537231445,47.625525913127305,45.34285460188037,45.963989423316804,27990521
25,2007-11-12,47.48576736450195,48.324301031379505,43.74342765843285,44.97017057620927,35153735
26,2007-11-13,48.619327545166016,49.597613813961146,46.75592352371276,48.29323352634733,43830531
27,2007-11-14,47.982662200927734,50.15663337858068,47.73420582464986,49.47338360923997,36738579
28,2007-11-15,48.79014205932617,49.644202234975836,47.873966731420886,48.883310575370494,29242252
29,2007-11-16,48.448524475097656,49.55103700186163,47.88950065725445,48.57275058606068,18895294
30,2007-11-19,50.20323944091797,52.02005984250288,49.17836855404472,49.55104696184382,40716718
31,2007-11-20,49.426822662353516,51.398926860212974,48.82121443521044,50.00137330127425,26342171
32,2007-11-21,45.575775146484375,50.0168869462869,44.47325843230988,49.72185046596331,26814499
33,2007-11-22,44.00740051269531,46.92673676745688,42.09741228685716,45.09438616132471,34096185
34,2007-11-23,46.9267463684082,47.2062561784884,44.28691932644675,46.89568878676822,27664090
35,2007-11-26,47.29942321777344,48.66591885573252,46.92674488687898,48.66591885573252,20159123
